country_x,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,"GDP growth rate (annual %, const. 2005 prices)",Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force)
CH,0.6546823270613191,0.6453697757002004,-7.02070004321012,0.08099403700357466,0.24882784778253525,0.03424547709392309,0.16498931138783043,0.5021449876261932,0.8,25.5,73.8,4.6
CL,0.7425269968363082,0.6807941632347771,-6.200259227434285,0.10036431668163887,0.2237395097840097,0.025432104125688398,0.16347141350622973,0.6237575084950983,2.3,32.8,63.3,6.8
CO,0.749355829693464,0.6759263408491717,-5.8743785464132525,0.12222081611773503,0.24769255546373903,0.018970986487230945,0.17227536300318735,0.6039305666391217,3.1,34.0,59.2,10.5
CR,0.7193978448107876,0.6642212456214193,-6.010610507034569,0.1130860555750419,0.28203229346428155,0.022706949414630345,0.17265374332592853,0.585342230406485,3.7,21.5,73.4,8.6
CZ,0.6845650208487588,0.6718118935349363,-7.028125053583259,0.12180454775729706,0.2208948882311679,0.02584367454619851,0.17540796539495732,0.48241898990686255,4.5,37.8,59.70000000000001,3.9
DE,0.6895979700603495,0.6604379081432714,-6.8539480366799905,0.11087850144995688,0.20440029873030802,0.02343888792029156,0.16634974135904068,0.5273436045144604,1.7,30.5,68.9,4.2
DK,0.6937542812254517,0.6600124980361352,-6.382305302435192,0.12010592694422624,0.1895154087588374,0.006146213786724273,0.18106253731343286,0.5570919756480754,1.6,22.9,75.8,6.0
DO,0.7269484284323272,0.6777622590068159,-6.425365452775073,0.1891359298928919,0.2668477215851996,0.032960873418111,0.18339589094449857,0.5849736159688412,7.0,28.0,65.4,14.4
EC,0.75011577973707,0.6800447831575218,-6.0686125324726445,0.11667780051956232,0.24684678568054788,0.026108010284972054,0.16059559946469337,0.6069853219711879,0.20000000000000004,34.1,55.79999999999999,5.8
EE,0.6608509703979613,0.6786590080376397,-6.6799683199372675,0.08514229758870809,0.17330061876494804,0.03955163214036463,0.1917830621446775,0.5089426112526956,1.4,27.4,69.2,7.2
EG,0.699621409921671,0.6846658353142901,-6.218191263006118,0.08548018783367756,0.3548342875180235,0.007131013564163516,0.18177941233778885,0.622612228673863,4.2,36.3,52.5,11.5
ES,0.7166802768301769,0.6854115774850017,-6.07414892365604,0.11278258636238873,0.28612976489040504,0.02339931372779673,0.17223168646825862,0.5678316625495039,3.2,23.6,73.7,18.3
FI,0.6802575214341388,0.6984919368667186,-5.856635814497272,0.06786777864380358,0.18902605067420108,0.026114409418550276,0.1720733749025721,0.5876756274356976,0.2,26.8,70.6,8.9
FR,0.7048694991229779,0.6462540791268758,-6.717977314363672,0.1362957084389008,0.3017691034885987,0.008380402626388618,0.14672693432079517,0.5719661987916586,1.3,19.5,78.8,9.8
GB,0.6233570548900755,0.640592832058498,-6.688495790638379,0.06737064511473517,0.24824629262808484,0.016141528537066435,0.17365315341319093,0.5220618078606821,2.2,19.4,79.9,5.0
GR,0.7153384981656389,0.6867726133791273,-6.969931426118181,0.14400136211068612,0.28865883279993754,0.016276722873312,0.17876568183592226,0.5274918507532589,-0.2,15.7,80.2,23.0
GT,0.7293626807498929,0.6868403344116615,-6.292581829520209,0.0851181120162139,0.27309099111353624,0.019021250430291927,0.16296325369294928,0.6403797712125346,4.1,27.2,62.0,2.4
HN,0.7315414403179924,0.6830078040606368,-6.324703869685515,0.10280849927906162,0.2663448506683294,0.025382689395191147,0.1680063832274658,0.6007956389072913,3.6,25.100000000000005,61.9,5.599999999999999
HU,0.7190507833814015,0.6713363863122613,-6.808817249980513,0.11786097123704108,0.232340499220516,0.022651725687894614,0.16433478837009902,0.5379792111622106,3.1,31.9,64.0,4.5
ID,0.5246475678203929,0.5045279856563767,-7.828981018085438,0.03808367243529779,0.5415473382444652,0.03329135643358279,0.1522813104147178,0.37277038509510446,4.8,41.29999999999999,44.70000000000001,5.8
IE,0.6098789838246291,0.6142189027509937,-7.04424432287772,0.05805059624542484,0.27323662777244284,0.013811006046676375,0.16580950057066396,0.5074158251013421,26.300000000000004,41.7,57.3,7.6
IL,0.6125624609618988,0.5363773344784509,-8.097648500936915,0.07018539194253591,0.44289812656152405,0.01275904551725484,0.1865588850718301,0.46669281698938164,2.5,21.2,77.5,5.900000000000001
IN,0.6281912146736991,0.5808657010155082,-7.327288986853499,0.07044373376367788,0.4851049775643549,0.004388536195780524,0.14839331260332206,0.525527788711328,7.599999999999999,29.7,53.20000000000001,3.4
IS,0.6795254523996853,0.49826527498033046,-8.704824704956726,0.06909422108575924,0.3699063167486232,0.018146311315892998,0.14941499606608968,0.519574563729347,4.2,24.0,69.7,3.6
IT,0.6746760810284379,0.6888138511881573,-6.101368017140631,0.12195613167121153,0.2222584805220101,0.006888534940007791,0.17495106739384497,0.5090483233346319,0.7,23.5,74.2,11.4
JP,0.6081186520009361,0.7754437163585304,-4.4843568921132695,0.07797229503081364,0.11633182820812855,0.003190286844527654,0.18051810983696076,0.6360425540213746,1.2,26.4,72.4,3.0
KR,0.656371765809427,0.6885986633315094,-5.29551242867193,0.0655189009614633,0.23677689279293365,0.020741123412413038,0.16307946533260376,0.544644586883452,2.6,38.0,59.70000000000001,3.6
KZ,0.7079342556508185,0.6009989633671083,-7.272709080280592,0.11416115744349183,0.3372307347876071,0.0555407624029618,0.1648539088074825,0.5078182657833203,1.2,32.5,62.5,5.6
LT,0.6984422057264051,0.6437808020109187,-7.104191979890813,0.07365483680923766,0.22136081093869056,0.04177174727465535,0.16365574800675542,0.5564478417972585,1.8,29.8,66.5,9.2
LU,0.6636716344605476,0.6447139283413849,-7.000158051529791,0.08907626811594203,0.23902538258454106,0.03270900151932367,0.15819976650563608,0.5296998655394525,3.5,12.1,87.7,5.6
LV,0.6586437903352746,0.6419393318117425,-6.919991027860854,0.08670456477254841,0.21285797701125453,0.03282541423736817,0.18991849913426725,0.49692736502439794,2.7,23.3,73.5,9.6
MA,0.6792430623892936,0.622607715016729,-8.072181420980122,0.15834270025585515,0.3732348252312537,0.005409175206061799,0.15001126943515056,0.5455200551072623,4.4,28.9,57.4,10.4
MX,0.7307465828321487,0.6911594579395454,-6.5764833632742326,0.07477140904475514,0.28801088182457235,0.016568841211825353,0.16149662969616496,0.676612466999922,2.5,36.0,60.4,4.1
MY,0.5944164880140324,0.5707869343207952,-7.053107308516858,0.05448826739427012,0.3647397620346911,0.016817193423893977,0.15010949132722667,0.44306397973104655,5.0,39.6,51.8,3.3
NG,0.7251410462068156,0.6808864626941585,-7.2101497711178055,0.13841081419460854,0.31274132360420986,0.02163649183810008,0.16345014280683906,0.6219982511052858,2.7,20.4,58.8,5.4
NI,0.7292876465775838,0.6698971631150415,-6.378592465620009,0.09849391483891075,0.27583156352019944,0.022371468376641085,0.1634439167867856,0.6102979465503136,4.9,26.800000000000004,54.39999999999999,6.1
NL,0.6737765886287626,0.6756382561479441,-6.453909659649813,0.07541309069447177,0.21643659753688768,0.01825024408026756,0.15927233523509737,0.5580623608105449,2.0,20.0,78.2,5.6
NO,0.6335551017202105,0.6251060325190481,-6.905033972193857,0.08227982876443328,0.26249261800722645,0.01635393304846438,0.19087398083418428,0.5231187966381274,1.6,34.6,63.5,5.1
NZ,0.6433480328063711,0.6201420064186378,-6.802868259439756,0.0727234518007845,0.23379748576013312,0.010916633731922818,0.16177902056341376,0.5269241095130551,3.1000000000000005,23.0,70.6,5.5
PA,0.7136900611918774,0.6646271123202245,-6.485770277117355,0.15256990684803368,0.28621590376895195,0.025894078488911405,0.16055062166270415,0.5569314530147718,5.8,27.1,70.0,6.2
PE,0.7443729279173514,0.6873219065977929,-5.936890232448932,0.10227949049072552,0.2384688068795492,0.025101374114424355,0.16434790639430227,0.6085815093527432,3.3,33.3,59.2,5.299999999999999
PH,0.6377923910501286,0.5581354135807282,-7.75420316519841,0.05957978482887659,0.3320510157090512,0.010216688603336712,0.14385299758322287,0.5097209713884774,5.9,31.300000000000004,58.2,5.9
PK,0.672581433415176,0.5651116567286333,-7.7504729334736355,0.10297121867570833,0.4129517112903855,0.009014454121750653,0.15200844148252074,0.5120415760551853,5.5,19.0,55.5,5.9
PL,0.676207411159601,0.6841929940773067,-6.795120363154614,0.11691569124064838,0.2218858627649626,0.007526632292705736,0.19395926200124686,0.5111066825124688,3.8999999999999995,34.1,63.3,5.299999999999999
PT,0.695455424316844,0.5926508844969399,-6.93778501539781,0.15124259930612405,0.4075672541613066,0.023789830965968893,0.16956597279070673,0.5428137243207423,1.6,22.3,75.4,10.5
PY,0.7053244411267827,0.6760977048285074,-5.979136015400935,0.10138790712293247,0.25432565100381094,0.019699692938356973,0.1758111735355361,0.6109545943503712,3.1,29.5,51.6,5.5
RO,0.7390026206680748,0.7179163341938511,-5.733956895877337,0.10115959477430964,0.19987581870452945,0.014064443670499884,0.17435567159508725,0.5977342407885473,3.7000000000000006,34.9,60.29999999999999,7.099999999999999
SA,0.6153269721600503,0.6517678760749204,-6.680884792083873,0.07783625476106334,0.26076959877488515,0.08942107136019162,0.18168098715985392,0.5071534024423764,3.4,46.0,51.8,5.5
SE,0.6263573724229834,0.6026381633612918,-7.60393611350631,0.09181997726738261,0.30813970616916203,0.022516990395861098,0.179612158030885,0.5217022967782394,4.1,26.300000000000004,72.4,7.299999999999999
SG,0.6431626988780735,0.6284615652241898,-6.463858566905125,0.05947292521793519,0.25042235968101323,0.008222544661662952,0.14699397208865955,0.5131916031429576,2.0,26.399999999999995,73.6,2.0
SK,0.6900574093587792,0.6672845880654099,-6.738499082855247,0.125286816532022,0.21156378541544707,0.023368995656246342,0.17325852554345705,0.47694374585333493,3.8,34.8,61.5,9.9
SV,0.7422361535463756,0.684399914263445,-6.22154099766173,0.10152776695245518,0.2544690351909587,0.026981124231878408,0.167589563522993,0.5998831445830086,2.5,25.8,63.3,6.4
TH,0.6233508436927634,0.6414551654261331,-6.48398160632867,0.06290126651338608,0.2830051904446436,0.006119742452749308,0.1805786680176143,0.5188902381045165,2.7999999999999994,35.7,55.1,0.6
TR,0.649148117775695,0.646091651046548,-7.802508903467666,0.10249256482349267,0.26940942489846925,0.005517171814667292,0.19311581146516713,0.5354718213058419,4.0,26.4,65.0,10.8
UA,0.704220154855021,0.6488428182033658,-6.930897250533302,0.09287353243264596,0.25854878904953776,0.05177275750217271,0.16853893497669273,0.531392675989571,-9.9,26.300000000000004,59.7,8.8
US,0.6346126890490141,0.6003865325837359,-7.345419273101592,0.08191456172301845,0.26684617006572176,0.02012036960566949,0.16737462190197167,0.49153850106896824,2.6,19.7,79.3,4.9
UY,0.7098425026102321,0.686937706248494,-5.78307344791583,0.08718894064733756,0.23500045867801783,0.018878134950606376,0.1815296923941852,0.6681561794233394,1.0,28.0,65.2,8.8
VE,0.7378914909942653,0.6717993829537193,-6.361319723770293,0.1175663597447702,0.2693142685243518,0.02766885559809385,0.16667050319037235,0.5552417369356272,-6.2,44.7,50.0,6.6
VN,0.676503774190958,0.5505921223801493,-8.112738095238095,0.07832584919296555,0.47210246237854336,0.009779649239540673,0.16393072352043683,0.48934714526620093,6.7,37.0,44.20000000000001,2.2
ZA,0.7259826969208384,0.6147167682567147,-8.785329623658027,0.07755303000511227,0.14968125301820756,0.06798564447520548,0.13709187541783005,0.5132625702937591,1.3000000000000003,28.9,68.7,26.0
